,Reversed left context,Reversed center,Left context,Center,Punct,Right context,Title,Author,Birthday,Header,Created,Sphere,Type,Topic,Publication,Publ_year,Medium,Ambiguity,Full context,Example source,grammatical_categories
15, я ледиВ,йинхи,Видел я ,ихний, ,стриптиз. ,Сергей Довлатов. Иная жизнь (1984),Сергей Довлатов,1941,Иная жизнь,1984,художественная,повесть,,Собрание прозы в 3 т. Т.2,1993,книга,омонимия снята вручную,Видел я ихний стриптиз. ,834:332:2,inan sing masc
16, ястеаджорыВ,йинхи,Вырождается ,ихний, ,стриптиз. ,Сергей Довлатов. Иная жизнь (1984),Сергей Довлатов,1941,Иная жизнь,1984,художественная,повесть,,Собрание прозы в 3 т. Т.2,1993,книга,омонимия снята вручную,Вырождается ихний стриптиз. ,834:338:1,inan sing masc
17," то еындалкереп есв ан ,яиненжолсо еиксечифаргоег",огенхи,"географические осложнения, на все перекладные от ",ихнего, ,Ленинграда до моего... -- уже не дозвонилась... ,Андрей Битов. Рассеянный свет (1981),Андрей Битов,1937,Рассеянный свет,1981,художественная,рассказ,,Антология современной прозы. Т. 1.,2002,книга,омонимия снята вручную,"Если бы позвонила, то не позже двенадцати с поправками на все географические осложнения, на все перекладные от ихнего Ленинграда до моего... -- уже не дозвонилась... ",877:289:17,inan sing masc
18,""" лаводуробо и юьлебем йонзовирп ее",йенхи,"ее привозной мебелью и оборудовал """,ихней, ,""" техникой, в число которой входит","Владимир Войнович. Иванькиада, или рассказ о вселении писателя Войновича в новую квартиру (1976)",Владимир Войнович,1932,"Иванькиада, или рассказ о вселении писателя Войновича в новую квартиру",1976,художественная,повесть,,Владимир Войнович. Замысел.,2000,книга,омонимия снята вручную,"Из дальних странствий возвратясь, на свои трудовые сертификаты приобрел ""Волгу "" нового образца, обменял квартиру маленькую двухкомнатную на большую трехкомнатную, обставил ее привозной мебелью и оборудовал ""ихней "" техникой, в число которой входит и какой-то неописуемый унитаз, о котором в среде литературной общественности слагались легенды. ",968:443:28,inan sing femn
19," умроф лянс ,ижон ,ынортап ,иквотнив ларбаз",ююнхи,"забрал винтовки, патроны, ножи, снял форму ",ихнюю,", ",забрал документы и ушел. ,Анатолий Рыбаков. Тяжелый песок (1975-1977),Анатолий Рыбаков,1911,Тяжелый песок,1975-1977,художественная,роман,,Рыбаков А. Тяжелый песок.,1982,книга,омонимия снята вручную,"Он настиг полицаев, застрелил, забрал винтовки, патроны, ножи, снял форму ихнюю, забрал документы и ушел. ",948:5516:10,inan plur masc
20, ортеП,йинхи,Петро ,ихний,... ,"пьяный на каменку свалился, -- пояснила какая-то",Василий Шукшин. Калина красная (1973),Василий Шукшин,1929,Калина красная,1973,художественная,киноповесть,,"Василий Шукшин. Собрание сочинений (в 3 томах), т3",2003,книга,омонимия снята вручную,"Петро ихний... пьяный на каменку свалился, -- пояснила какая-то старушка. ",951:1394:1,anim sing masc
21,,яянхИ,,Ихняя, ,там деревня против нашей -- рай земной,И. Грекова. На испытаниях (1967),И. Грекова,1907,На испытаниях,1967,художественная,повесть,,На испытаниях,1990,книга,омонимия снята вручную,Ихняя там деревня против нашей -- рай земной и небесный. ,919:4733:0,inan sing femn
22, йеннамуг йисьлеЦ шаН,огенхи,Наш Цельсий гуманней ,ихнего, ,Фаренгейта. ,Д. А. Гранин. Месяц вверх ногами (1966),Д. А. Гранин,1919,Месяц вверх ногами,1966,публицистика,очерк,путешествия,Гранин Д.А. Собр. соч.: В 2 т. Т. 2,1979,книга,омонимия снята вручную,Наш Цельсий гуманней ихнего Фаренгейта. ,912:1614:3,anim sing masc
23, имынзар с янем то ястяпецто И,иминхи,И отцепятся от меня с разными ,ихними, ,замыслами. ,Д. А. Гранин. Месяц вверх ногами (1966),Д. А. Гранин,1919,Месяц вверх ногами,1966,публицистика,очерк,путешествия,Гранин Д.А. Собр. соч.: В 2 т. Т. 2,1979,книга,омонимия снята вручную,И отцепятся от меня с разными ихними замыслами. ,912:2731:6,inan plur masc
24," в -- ,тировог -- ,тен аД "" --""",ююнхи,"""-- "" Да нет, -- говорит, -- в ",ихнюю, ,""". ",Сергей Довлатов. Солдаты на Невском (1965),Сергей Довлатов,1941,Солдаты на Невском,1965,художественная,рассказ,,Довлатов С. Собр. соч.: В 4 тт. Т. 1,1999,книга,омонимия снята вручную,"Потом отвечает: "" Три -- два "". -- "" В нашу, что ли, пользу? ""-- "" Да нет, -- говорит, -- в ихнюю "". ",838:112:18,
25," ьтам ,хишав йебулог у ,юровог ,маТ",ююнхи,"Там, говорю, у голубей ваших, мать ",ихнюю, ,так... ,"Ю. О. Домбровский. Хранитель древностей, часть 1 (1964)",Ю. О. Домбровский,1909,"Хранитель древностей, часть 1",1964,художественная,роман,,Домбровский Ю.О. Собр. соч.: В 6 т. Т. 4,1992,книга,омонимия снята вручную,""" Там, говорю, у голубей ваших, мать ихнюю так... ",895:440:7,
26, -- илшорп ыдагирб ешьнар еикаК,еенхи,Какие раньше бригады прошли -- ,ихнее, ,"счастье, уж и за воротами некоторые",Александр Солженицын. Один день Ивана Денисовича (1961),Александр Солженицын,1918,Один день Ивана Денисовича,1961,художественная,рассказ,,Солженицын А.И. На краях,2000,книга,омонимия снята вручную,"Какие раньше бригады прошли -- ихнее счастье, уж и за воротами некоторые, а эти -- открывайся! ",956:493:4,inan sing neut
27," и ,хишан и илитолокан окьлокС",хинхи,"Сколько наколотили и наших, и ",ихних,. ,,"Василий Гроссман. Жизнь и судьба, часть 2 (1960)",Василий Гроссман,1905,"Жизнь и судьба, часть 2",1960,художественная,роман,,Гроссман В. Жизнь и судьба,1992,книга,омонимия снята вручную,"Сколько наколотили и наших, и ихних. ",923:6530:5,
28,,йинхИ,,Ихний, ,был дом. ,Александр Солженицын. Матренин двор (1960),Александр Солженицын,1918,Матренин двор,1960,художественная,рассказ,,Солженицын А.И. На краях,2000,книга,омонимия снята вручную,Ихний был дом. ,957:451:0,inan sing masc
29,,минхИ,,Ихним, ,отцом строенный. ,Александр Солженицын. Матренин двор (1960),Александр Солженицын,1918,Матренин двор,1960,художественная,рассказ,,Солженицын А.И. На краях,2000,книга,омонимия снята вручную,Ихним отцом строенный. ,957:452:0,anim sing masc
30, иинелварп в я алатс И,менхи,И стала я в правлении ,ихнем, ,счетоводом. ,"Василий Гроссман. Все течет (1955-1963) // «Октябрь», 1989",Василий Гроссман,1905,Все течет,1955-1963,художественная,повесть,,«Октябрь»,1989,журнал,омонимия снята вручную,И стала я в правлении ихнем счетоводом. ,925:1730:5,anim sing masc
31, илинороХ,огенхи,Хоронили ,ихнего, ,архиепископа. ,И. А. Бунин. Чистый понедельник (1944),И. А. Бунин,1870,Чистый понедельник,1944,художественная,рассказ,,И. А. Бунин. Стихотворения. Рассказы. Повести,1973,книга,омонимия снята вручную,Хоронили ихнего архиепископа. ,2060:102:1,anim sing masc
32," овтсйемес есв ,йещутялкорп ,еен аз-зИ",еенхи,"Из-за нее, проклятущей, все семейство ",ихнее, ,постреляли. ,А. И. Пантелеев. Ночные гости (1944),А. И. Пантелеев,1908,Ночные гости,1944,художественная,пьеса,,Пантелеев А.И. Собрание сочинений: В 4 т. Т. 1,1984,книга,омонимия снята вручную,"Из-за нее, проклятущей, все семейство ихнее постреляли. ",2113:73:5,
33, у мокеволеч мишьлоб ьнечо от-микак мат,огенхи,там каким-то очень большим человеком у ,ихнего, ,вожака. ,"Ю. О. Домбровский. Обезьяна приходит за своим черепом, часть 1 (1943-1958)",Ю. О. Домбровский,1909,"Обезьяна приходит за своим черепом, часть 1",1943-1958,художественная,роман,,Домбровский Ю.О. Собр. соч.: В 6 т. Т.2,1992,книга,омонимия снята вручную,"Оказывается, он сделался там каким-то очень большим человеком у ихнего вожака. ",891:1645:9,anim sing masc
34," зи ен но отч ,ледиву узарс",хинхи,"сразу увидел, что он не из ",ихних,", ",хотя и в халате. ,"Ю. О. Домбровский. Обезьяна приходит за своим черепом, часть 1 (1943-1958)",Ю. О. Домбровский,1909,"Обезьяна приходит за своим черепом, часть 1",1943-1958,художественная,роман,,Домбровский Ю.О. Собр. соч.: В 6 т. Т.2,1992,книга,омонимия снята вручную,"Так минуты две я посидел, вдруг дверь сзади опять щелкнула, отворилась, но не полностью, а так только, чтобы можно было пройти, и вот входит какой-то человек; я сразу увидел, что он не из ихних, хотя и в халате. ",891:2359:33,inan sing masc
35,,ююнхИ,,Ихнюю, ,"экономку, говорит. ",Г. А. Газданов. Вечер у Клэр / начало романа (1930),Г. А. Газданов,1903,Вечер у Клэр / начало романа,1930,художественная,роман,,Гайто Газданов. Собрание сочинений: в 3 т.,1999,книга,омонимия снята вручную,"Ихнюю экономку, говорит. ",2084:435:0,anim sing femn
36,""" ябес вавзан ,уроткеридниф яславоднемокерто мас",йинхи,"сам отрекомендовался финдиректору, назвав себя """,ихний, ,"помощник "". ","М. А. Булгаков. Мастер и Маргарита, часть 1 (1929-1940)",М. А. Булгаков,1891,"Мастер и Маргарита, часть 1",1929-1940,художественная,роман,,Булгаков М.А. Избранная проза,1966,книга,омонимия снята вручную,"Зато развязный клетчатый сам отрекомендовался финдиректору, назвав себя ""ихний помощник "". ",2055:2536:9,anim sing masc
37, лажник И,йинхи,И кинжал ,ихний, ,заклятый заткнул грек за пояс. ,Б. С. Житков. Элчан-Кайя (1926),Б. С. Житков,1882,Элчан-Кайя,1926,художественная,рассказ,,Б. Житков. «Джарылгач». Рассказы и повести,1980,книга,омонимия снята вручную,И кинжал ихний заклятый заткнул грек за пояс. ,2167:554:2,anim sing masc
38, лажник А,йинхи,А кинжал ,ихний, ,заклятый здесь за поясом. ,Б. С. Житков. Элчан-Кайя (1926),Б. С. Житков,1882,Элчан-Кайя,1926,художественная,рассказ,,Б. Житков. «Джарылгач». Рассказы и повести,1980,книга,омонимия снята вручную,А кинжал ихний заклятый здесь за поясом. ,2167:624:2,inan sing masc
39,"« ен но отч ,онся олыб жу",йинхи,"уж было ясно, что он не «",ихний,» (,"ничей): просто «детишкам на молочишко», чего",З. Н. Гиппиус. Задумчивый странник (о Розанове) (1923),З. Н. Гиппиус,1869,Задумчивый странник (о Розанове),1923,публицистика,мемуары,,Василий Розанов: Pro et contra. Кн. I.,1995,книга,омонимия снята вручную,"Мы все держались в стороне от «Нового Времени»; но Розанову его «суворинство» инстинктивно прощалось: очень уж было ясно, что он не «ихний» (ничей): просто «детишкам на молочишко», чего он сам, с удовольствием, не скрывал. ",2085:179:21,anim plur 
40," с амотроК ,аД",йенхи,"Да, Кортома с ",ихней, ,сестрой знает обращение. ,Е. И. Замятин. Север (1918),Е. И. Замятин,1884,Север,1918,художественная,рассказ,,Е.И. Замятин. Избранные произведения в двух томах Том 1,1990,книга,омонимия снята вручную,"Да, Кортома с ихней сестрой знает обращение. ",2164:819:3,anim sing femn
41," в ,тировог ,окьлот оН",еинхи,"Но только, говорит, в ",ихние, ,"собственные руки "". ",А. И. Куприн. Гранатовый браслет (1911),А. И. Куприн,1870,Гранатовый браслет,1911,художественная,повесть,,А. И. Куприн. Собрание сочинений в 9 т.,1972,книга,омонимия снята вручную,"Но только, говорит, в ихние собственные руки "". ",2103:330:4,inan plur femn
42," зи монретлабус ,мывокяншиВ мокичуроп с окперкан",йенхи,"накрепко с поручиком Вишняковым, субалтерном из ",ихней, ,роты. ,А. И. Куприн. Гранатовый браслет (1911),А. И. Куприн,1870,Гранатовый браслет,1911,художественная,повесть,,А. И. Куприн. Собрание сочинений в 9 т.,1972,книга,омонимия снята вручную,"Под конец сошлась она накрепко с поручиком Вишняковым, субалтерном из ихней роты. ",2103:751:10,inan sing femn
43, аквилан ачеваД,яянхи,Давеча наливка ,ихняя, ,пролилась. ,Н. А. Тэффи. Покаянное (1910),Н. А. Тэффи,1872,Покаянное,1910,художественная,рассказ | миниатюра,,"Тэффи Н.А. Юмористические рассказы. Из  Всеобщей истории, обработанной  «Сатириконом»",1990,книга,омонимия снята вручную,Давеча наливка ихняя пролилась. ,2141:24:2,
44," отч ,отсорп ужакс и ;ыдобовс ясйещюуберт",яянхи,"требующейся свободы; и скажу просто, что ",ихняя, ,"""свобода "" мне ни на",В. В. Розанов. На лекции о Достоевском (1909),В. В. Розанов,1856,На лекции о Достоевском,1909,публицистика,статья,философия,,,книга,омонимия снята вручную,"А между тем я враг монашества: таким образом, и с ними я никогда не соглашусь в качественной оценке, в качественном определении требующейся свободы; и скажу просто, что ихняя ""свобода "" мне ни на что не нужна, что за нее я не заплачу двух копеек. ",2130:122:27,inan sing femn
45, йенлопоп огонм одзарог еще ноказ от,огенхи,то закон еще гораздо много пополней ,ихнего,: ,"мы если и солжем, так у",Н. С. Лесков. Томленье духа (1890),Н. С. Лесков,1831,Томленье духа,1890,художественная,рассказ,,Лесков Н.С. Энциклопедическое собрание сочинений,,книга,омонимия снята вручную,"У нас свой-то закон еще гораздо много пополней ихнего: мы если и солжем, так у нас сколько угодно и отмолиться можно: у нас и угодники есть, и страстотерпцы, и мученики, и Прасковеи. ",1941:63:9,
46, от-акровогоп аД,яянхи,Да поговорка-то ,ихняя,... ,,Д. Н. Мамин-Сибиряк. Клад (1889),Д. Н. Мамин-Сибиряк,1852,Клад,1889,художественная,рассказ,,"Д.Н. Мамин-Сибиряк. Золото. Роман, рассказы, повесть",1983,книга,омонимия снята вручную,Да поговорка-то ихняя... ,1946:100:3,
47," ьтировтогалбу лунреваз мин к "" недзерД",хинхи,"Дрезден "" к ним завернул ублаготворить ",ихних, ,гостей. ,Д. Н. Мамин-Сибиряк. Клад (1889),Д. Н. Мамин-Сибиряк,1852,Клад,1889,художественная,рассказ,,"Д.Н. Мамин-Сибиряк. Золото. Роман, рассказы, повесть",1983,книга,омонимия снята вручную,"Вот Никита и пришел за мной, чтобы я в ""Дрезден "" к ним завернул ублаготворить ихних гостей. ",1946:247:16,anim plur masc
48, аз олыб олеД,минхи,Дело было за ,ихним, ,завтраком: блюдо почек и четверть на,Д. Н. Мамин-Сибиряк. Клад (1889),Д. Н. Мамин-Сибиряк,1852,Клад,1889,художественная,рассказ,,"Д.Н. Мамин-Сибиряк. Золото. Роман, рассказы, повесть",1983,книга,омонимия снята вручную,"Дело было за ихним завтраком: блюдо почек и четверть на столе, все по форме. ",1946:281:3,inan sing masc
49, йоджак к от-умиз аз лепсУ,йенхи,Успел за зиму-то к каждой ,ихней, ,привычке вполне привеситься: они еще только,Д. Н. Мамин-Сибиряк. Клад (1889),Д. Н. Мамин-Сибиряк,1852,Клад,1889,художественная,рассказ,,"Д.Н. Мамин-Сибиряк. Золото. Роман, рассказы, повесть",1983,книга,омонимия снята вручную,"Успел за зиму-то к каждой ихней привычке вполне привеситься: они еще только подумают, а я уже сделал. ",1946:397:6,inan sing femn
50, йогород с и месвос хи ун,йенхи,ну их совсем и с дорогой ,ихней,! ,,Вс. М. Гаршин. Сигнал (1887),Вс. М. Гаршин,1855,Сигнал,1887,художественная,рассказ,,,,книга,омонимия снята вручную,Не прозевает; да ну их совсем и с дорогой ихней! ,1926:206:9,
51," .ьтидовзар ииномитна тут огечен и ,игарв",еенхИ,"враги, и нечего тут антимонии разводить. ",Ихнее, ,"дело -- смотри, наше дело -- не зевай",В. Г. Короленко. Чудная (1880),В. Г. Короленко,1853,Чудная,1880,художественная,очерк,,В.Г. Короленко. Собрание сочинений в десяти томах. Том 1. Повести и рассказы,1953,книга,омонимия снята вручную,"Ничего, говорит, не вижу. Это вы видите, чего и нет. А мы с ним вот (это значит со мной) люди простые. Враги так враги, и нечего тут антимонии разводить. Ихнее дело -- смотри, наше дело -- не зевай. Он, вот видите: стоит, слушает. Жалко, не понимает, а то бы в донесении все написал... ",1935:119:29,inan sing neut
52," йокат аз артваз теувтсделс отч ,ончоТ",йинхи,"Точно, что следствует завтра за такой ",ихний, ,разбой в правление всю их семью,А. И. Левитов. Расправа (1862),А. И. Левитов,1835,Расправа,1862,художественная,рассказ,,А.И. Левитов. Избранные произведения,1988,книга,омонимия снята вручную,"Точно, что следствует завтра за такой ихний разбой в правление всю их семью притянуть. ",1942:63:6,inan sing masc
53," в ,хин у иьдус есв И",хинхи,"И все судьи у них, в ",ихних, ,"странах, тоже все неправедные; так им",А. Н. Островский. Гроза (1860),А. Н. Островский,1823,Гроза,1860,художественная,пьеса,,А.Н. Островский. Полное собрание сочинений,1951,книга,омонимия снята вручную,"И все судьи у них, в ихних странах, тоже все неправедные; так им, милая девушка, и в просьбах пишут: "" Суди меня, судья неправедный! ",1964:877:6,inan plur femn
54," в ,хиижогирп ,хиишорох ,хиовс йеречод но",еинхи,"он дочерей своих, хорошиих, пригожиих, в ",ихние, ,терема девичьи. ,С. Т. Аксаков. Aленький цветочек (1858),С. Т. Аксаков,1791,Aленький цветочек,1858,художественная,сказка,,С.Т. Аксаков. Семейная хроника. Детские годы Багрова-внука. Аленький цветочек,1982,книга,омонимия снята вручную,"И отпустил он дочерей своих, хорошиих, пригожиих, в ихние терема девичьи. ",1902:23:8,inan sing masc
55, яславозьлоП,минхи,Пользовался ,ихним, ,вниманием. ,И. И. Панаев. Раздел имения (1850-1860),И. И. Панаев,1812,Раздел имения,1850-1860,художественная,повесть,,И. И. Панаев. Избранная проза,1988,книга,омонимия снята вручную,Пользовался ихним вниманием. ,1965:40:1,inan sing neut
56,,еинхИ,,Ихние, ,дамы все лоскутки так и режут,И. И. Панаев. Раздел имения (1850-1860),И. И. Панаев,1812,Раздел имения,1850-1860,художественная,повесть,,И. И. Панаев. Избранная проза,1988,книга,омонимия снята вручную,"Ихние дамы все лоскутки так и режут на мелкие части, настоящую лапшу делают. ",1965:61:0,anim plur femn
57," ,тировог ,илшоП",еинхи,"Пошли, говорит, ",ихние, ,"ребята за кольями, а он, сударыня",Д. В. Григорович. Бобыль (1847),Д. В. Григорович,1822,Бобыль,1847,художественная,рассказ,,Д.В. Григорович. Избранные сочинения,1954,книга,омонимия снята вручную,"Пошли, говорит, ихние ребята за кольями, а он, сударыня, и лежит подле самой-то межи, в канавке, словно, говорит, живой... подле него мешок, шапка... сказывал мужик тот; к ним и становой, вишь, приехал... така-то, говорит, беда завязалась... ",1932:330:2,anim plur 
58,,яянхИ,,Ихняя, ,правда в другом. ,"Александр Купер. Истопник // «Дальний Восток», 2019",Александр Купер,1951,Истопник,2019,художественная,роман,,«Дальний Восток»,2019,журнал,омонимия снята автоматически,Ихняя правда в другом. ,60163:2898:0,anim sing masc
59, ан йогон юлпутс ен ешьлоб ьтсиж,йинхи,жисть больше не ступлю ногой на ,ихний, ,погост — такого ужаса натерпелась! ,"Роман Романов. Вom caminho, или Пилигримуши на Пути Святого Иакова // «Дальний Восток», 2019",Роман Романов,1972,"Вom caminho, или Пилигримуши на Пути Святого Иакова",2019,публицистика | нехудожественная,"дневник, записные книжки",,«Дальний Восток»,2019,журнал,омонимия снята автоматически,Ни в жисть больше не ступлю ногой на ихний погост — такого ужаса натерпелась! ,60177:186:8,inan sing masc
60,,еинхИ,,Ихние, ,"бабы будут донашивать ихние юбки, когда",О. А. Славникова. 2017 (2017),О. А. Славникова,1957,2017,2017,художественная,роман,,"О. А. Славникова, «2017», издательство «Вагриус», 2017",2017,книга,омонимия снята автоматически,"Ихние бабы будут донашивать ихние юбки, когда от банка мокрого места не останется. ",24247:3616:0,anim sing femn
61," есв сяоп аз менктаз ,ьтаксеД",еинхи,"Дескать, заткнем за пояс все ",ихние, «,Макдоналдсы»! ,О. А. Славникова. 2017 (2017),О. А. Славникова,1957,2017,2017,художественная,роман,,"О. А. Славникова, «2017», издательство «Вагриус», 2017",2017,книга,омонимия снята автоматически,"Дескать, заткнем за пояс все ихние «Макдоналдсы»! ",24247:6104:5,inan plur masc
62," тесен ьрепет отч ,огот елсоп И",йинхи,"И после того, что теперь несет ",ихний, ,главный? ,"А. А. Бушков. Ближе, бандерлоги! (2016)",А. А. Бушков,1956,"Ближе, бандерлоги!",2016,художественная,роман,,"А. А. Бушков, «Ближе, бандерлоги!», издательство «Просвещение», 2016 г.",2016,книга,омонимия снята автоматически,"И после того, что теперь несет ихний главный? ",22331:834:6,
63, икчунв жу отэ аД,еинхи,Да это уж внучки ,ихние,. ,,"Анаит Григорян. Комарова // «Волга», 2015",Анаит Григорян,1983,Комарова,2015,художественная,рассказ,,«Волга»,2015,журнал,омонимия снята автоматически,Да это уж внучки ихние. ,62116:176:4,
64," тевиж етумо мокобулг момас в -- ,яач",йинхи,"чая, -- в самом глубоком омуте живет ",ихний, ,царь. ,"Анаит Григорян. Подводные течения // «Волга», 2015",Анаит Григорян,1983,Подводные течения,2015,художественная,рассказ,,«Волга»,2015,журнал,омонимия снята автоматически,"Комарова задумывается, делает несколько глотков чая, -- в самом глубоком омуте живет ихний царь. ",62114:252:11,anim sing masc
65," вавовтсвучоп ,и йелетидор ьтиокопсу я лишепсоп",еенхи,"поспешил я успокоить родителей и, почувствовав ",ихнее, ,"да и свое облегчение, обругал себя",В. П. Астафьев. Бойе (2015),В. П. Астафьев,1924,Бойе,2015,художественная,рассказ,,В. П. Астафьев. Лучшие рассказы для детей,2015,книга,омонимия снята автоматически,"Заехал повидаться, -- поспешил я успокоить родителей и, почувствовав ихнее да и свое облегчение, обругал себя: «Все ищешь, недотыка, то, чего не терял!» ",24745:73:8,inan sing neut
